  iter  continuity  x-velocity  y-velocity           k     epsilon     time/iter
    59  1.3807e-02  1.0559e-04  7.9847e-05  1.9692e-04  1.9085e-04  0:00:44  441
    60  1.2979e-02  1.0028e-04  7.5062e-05  1.9121e-04  1.8699e-04  0:02:03  440
    61  1.2241e-02  9.5098e-05  7.0925e-05  1.8531e-04  1.8272e-04  0:01:38  439
    62  1.1350e-02  9.0169e-05  6.7050e-05  1.7956e-04  1.8025e-04  0:01:18  438
    63  1.0563e-02  8.5606e-05  6.3444e-05  1.7422e-04  1.7548e-04  0:01:02  437
    64  9.8914e-03  8.1107e-05  6.0232e-05  1.6878e-04  1.7013e-04  0:00:50  436
    65  9.3667e-03  7.6821e-05  5.7139e-05  1.6338e-04  1.6476e-04  0:00:40  435
    66  8.8968e-03  7.2761e-05  5.4322e-05  1.5807e-04  1.5993e-04  0:00:32  434

  iter  continuity  x-velocity  y-velocity           k     epsilon     time/iter
    67  8.4149e-03  6.8839e-05  5.1617e-05  1.5294e-04  1.5482e-04  0:00:25  433
    68  7.8886e-03  6.4840e-05  4.8946e-05  1.4785e-04  1.4992e-04  0:00:20  432
    69  7.4330e-03  6.0232e-05  4.5527e-05  1.4263e-04  1.4393e-04  0:01:42  431
    70  6.9941e-03  5.6526e-05  4.2833e-05  1.3752e-04  1.3932e-04  0:01:22  430
    71  6.6713e-03  5.3303e-05  4.0888e-05  1.3254e-04  1.3441e-04  0:01:05  429
    72  6.4004e-03  5.0523e-05  3.9086e-05  1.2755e-04  1.2983e-04  0:00:52  428
    73  6.1065e-03  4.7958e-05  3.7245e-05  1.2269e-04  1.2534e-04  0:00:42  427
    74  5.7730e-03  4.5594e-05  3.5312e-05  1.1806e-04  1.2106e-04  0:00:33  426
    75  5.4645e-03  4.3289e-05  3.3512e-05  1.1359e-04  1.1703e-04  0:00:26  425
    76  5.1899e-03  4.1122e-05  3.1826e-05  1.0920e-04  1.1296e-04  0:00:21  424
    77  4.9242e-03  3.9012e-05  3.0157e-05  1.0491e-04  1.0902e-04  0:01:41  423

  iter  continuity  x-velocity  y-velocity           k     epsilon     time/iter
    78  4.6657e-03  3.7031e-05  2.8645e-05  1.0070e-04  1.0585e-04  0:01:21  422
    79  4.4136e-03  3.5140e-05  2.7192e-05  9.6634e-05  1.0198e-04  0:01:05  421
    80  4.1827e-03  3.3383e-05  2.5894e-05  9.2647e-05  9.8095e-05  0:00:52  420
    81  3.9582e-03  3.1683e-05  2.4667e-05  8.8778e-05  9.3788e-05  0:00:41  419
    82  3.7662e-03  3.0144e-05  2.3529e-05  8.5004e-05  9.0195e-05  0:00:33  418
    83  3.5831e-03  2.8703e-05  2.2475e-05  8.1373e-05  8.6696e-05  0:00:26  417
    84  3.3997e-03  2.7399e-05  2.1466e-05  7.7869e-05  8.3239e-05  0:01:44  416
    85  3.2677e-03  2.6165e-05  2.0664e-05  7.4490e-05  7.9967e-05  0:01:23  415
    86  3.0854e-03  2.5049e-05  1.9784e-05  7.1178e-05  7.6748e-05  0:01:06  414
    87  2.9487e-03  2.4003e-05  1.9015e-05  6.8024e-05  7.3617e-05  0:00:53  413
    88  2.8599e-03  2.2996e-05  1.8281e-05  6.4986e-05  7.0611e-05  0:00:42  412

  iter  continuity  x-velocity  y-velocity           k     epsilon     time/iter
    89  2.7642e-03  2.2113e-05  1.7571e-05  6.2044e-05  6.7564e-05  0:00:34  411
    90  2.6875e-03  2.1275e-05  1.6891e-05  5.9218e-05  6.4747e-05  0:00:27  410
    91  2.6168e-03  2.0460e-05  1.6263e-05  5.6489e-05  6.1939e-05  0:01:43  409
    92  2.5388e-03  1.9671e-05  1.5668e-05  5.3907e-05  5.9278e-05  0:01:22  408
    93  2.4479e-03  1.8912e-05  1.5080e-05  5.1401e-05  5.6610e-05  0:01:06  407
    94  2.3755e-03  1.8192e-05  1.4473e-05  4.8978e-05  5.4090e-05  0:00:52  406
    95  2.3125e-03  1.7504e-05  1.3901e-05  4.6641e-05  5.1551e-05  0:00:42  405
    96  2.2467e-03  1.6912e-05  1.3394e-05  4.4408e-05  4.9295e-05  0:00:33  404
    97  2.1740e-03  1.6318e-05  1.2898e-05  4.2276e-05  4.7042e-05  0:00:27  403
    98  2.0954e-03  1.5750e-05  1.2384e-05  4.0215e-05  4.4718e-05  0:00:21  402
    99  2.0195e-03  1.5193e-05  1.1935e-05  3.8251e-05  4.2592e-05  0:00:17  401

  iter  continuity  x-velocity  y-velocity           k     epsilon     time/iter
   100  1.9429e-03  1.4683e-05  1.1461e-05  3.6364e-05  4.0550e-05  0:01:34  400
   101  1.8692e-03  1.4172e-05  1.1022e-05  3.4564e-05  3.8532e-05  0:01:15  399
   102  1.8017e-03  1.3680e-05  1.0573e-05  3.2836e-05  3.6639e-05  0:01:00  398
   103  1.7325e-03  1.3216e-05  1.0175e-05  3.1176e-05  3.4807e-05  0:00:48  397
   104  1.6628e-03  1.2745e-05  9.7701e-06  2.9592e-05  3.3333e-05  0:00:38  396
   105  1.6023e-03  1.2314e-05  9.4107e-06  2.8056e-05  3.1552e-05  0:00:30  395
   106  1.5348e-03  1.1879e-05  9.0428e-06  2.6585e-05  3.0046e-05  0:00:24  394
   107  1.4774e-03  1.1445e-05  8.6966e-06  2.5156e-05  2.8636e-05  0:01:38  393
   108  1.4157e-03  1.1034e-05  8.3674e-06  2.3806e-05  2.7182e-05  0:01:18  392
   109  1.3586e-03  1.0640e-05  8.0431e-06  2.2532e-05  2.5848e-05  0:01:02  391
   110  1.3042e-03  1.0267e-05  7.7386e-06  2.1305e-05  2.4549e-05  0:00:50  390

  iter  continuity  x-velocity  y-velocity           k     epsilon     time/iter
   111  1.2524e-03  9.8897e-06  7.4464e-06  2.0147e-05  2.3277e-05  0:00:40  389
   112  1.2028e-03  9.5292e-06  7.1591e-06  1.9019e-05  2.2071e-05  0:00:32  388
   113  1.1545e-03  9.1683e-06  6.8852e-06  1.7946e-05  2.1017e-05  0:00:25  387
   114  1.1048e-03  8.8366e-06  6.6055e-06  1.6918e-05  1.9916e-05  0:00:20  386
   115  1.0591e-03  8.4947e-06  6.3435e-06  1.5940e-05  1.8880e-05  0:01:33  385
   116  1.0193e-03  8.1655e-06  6.0928e-06  1.5003e-05  1.7901e-05  0:01:14  384
   117  9.7795e-04  7.8720e-06  5.8657e-06  1.4121e-05  1.6892e-05  0:00:59  383
!  117 solution is converged
